gameID,teamID,season,date,location,shots,shotsOnTarget,result
134,73,2015,19/9/2015 18:00,h,15,5,W
134,77,2015,19/9/2015 18:00,a,9,2,L
135,85,2015,19/9/2015 18:00,h,11,4,D
135,75,2015,19/9/2015 18:00,a,12,5,D
136,84,2015,19/9/2015 18:00,h,12,3,D
136,72,2015,19/9/2015 18:00,a,17,2,D
137,88,2015,19/9/2015 20:30,h,27,8,L
137,81,2015,19/9/2015 20:30,a,6,3,W
138,82,2015,20/9/2015 16:30,h,21,6,W
138,78,2015,20/9/2015 16:30,a,12,4,L
139,74,2015,20/9/2015 19:00,h,15,8,L
139,89,2015,20/9/2015 19:00,a,10,3,W
140,87,2015,20/9/2015 19:00,h,23,7,D
140,79,2015,20/9/2015 19:00,a,7,2,D
141,82,2015,26/9/2015 15:45,h,15,8,W
141,88,2015,26/9/2015 15:45,a,22,8,L
142,74,2015,26/9/2015 18:00,h,17,6,W
142,84,2015,26/9/2015 18:00,a,11,4,L
143,85,2015,26/9/2015 18:00,h,8,5,W
143,73,2015,26/9/2015 18:00,a,12,6,L
144,75,2015,26/9/2015 18:00,h,16,7,L
144,83,2015,26/9/2015 18:00,a,27,12,W
145,87,2015,26/9/2015 18:00,h,21,12,W
145,71,2015,26/9/2015 18:00,a,10,4,L
146,89,2015,26/9/2015 18:00,h,12,7,W
146,77,2015,26/9/2015 18:00,a,9,4,L
147,81,2015,26/9/2015 18:00,h,19,7,D
147,79,2015,26/9/2015 18:00,a,16,7,D
148,86,2015,26/9/2015 20:30,h,11,5,D
148,80,2015,26/9/2015 20:30,a,16,4,D
149,90,2015,27/9/2015 19:00,h,15,2,L
149,78,2015,27/9/2015 19:00,a,16,3,W
150,76,2015,28/9/2015 23:00,h,9,4,L
150,72,2015,28/9/2015 23:00,a,12,4,W
151,78,2015,3/10/2015 15:45,h,21,8,W
151,76,2015,3/10/2015 15:45,a,7,2,L
152,71,2015,3/10/2015 18:00,h,13,2,L
152,85,2015,3/10/2015 18:00,a,12,5,W
153,73,2015,3/10/2015 18:00,h,12,6,D
153,90,2015,3/10/2015 18:00,a,11,2,D
154,88,2015,3/10/2015 18:00,h,23,11,W
154,86,2015,3/10/2015 18:00,a,6,4,L
155,79,2015,3/10/2015 18:00,h,17,2,L
155,75,2015,3/10/2015 18:00,a,16,5,W
156,77,2015,3/10/2015 18:00,h,12,3,D
156,81,2015,3/10/2015 18:00,a,20,6,D
157,80,2015,3/10/2015 20:30,h,10,3,L
157,74,2015,3/10/2015 20:30,a,13,5,W
158,72,2015,4/10/2015 16:30,h,14,4,D
158,87,2015,4/10/2015 16:30,a,13,4,D
159,84,2015,4/10/2015 19:00,h,11,2,D
159,82,2015,4/10/2015 19:00,a,19,11,D
160,83,2015,4/10/2015 19:00,h,12,5,W
160,89,2015,4/10/2015 19:00,a,9,5,L
161,82,2015,17/10/2015 15:45,h,13,4,D
161,87,2015,17/10/2015 15:45,a,12,3,D
162,74,2015,17/10/2015 18:00,h,13,6,D
162,75,2015,17/10/2015 18:00,a,27,7,D
163,76,2015,17/10/2015 18:00,h,9,2,W
163,77,2015,17/10/2015 18:00,a,9,2,L
164,80,2015,17/10/2015 18:00,h,9,3,W
164,71,2015,17/10/2015 18:00,a,10,1,L
165,78,2015,17/10/2015 18:00,h,6,1,L
165,81,2015,17/10/2015 18:00,a,24,4,W
166,72,2015,17/10/2015 18:00,h,12,3,L
166,89,2015,17/10/2015 18:00,a,10,7,W
167,88,2015,17/10/2015 18:00,h,16,11,W
167,73,2015,17/10/2015 18:00,a,5,1,L
168,90,2015,17/10/2015 20:30,h,8,1,L
168,83,2015,17/10/2015 20:30,a,17,6,W
169,86,2015,18/10/2015 19:00,h,11,6,W
169,79,2015,18/10/2015 19:00,a,18,6,L
170,84,2015,19/10/2015 23:00,h,14,2,L
170,85,2015,19/10/2015 23:00,a,9,2,W
171,71,2015,24/10/2015 18:00,h,9,3,L
171,84,2015,24/10/2015 18:00,a,10,4,W
172,75,2015,24/10/2015 18:00,h,12,3,W
172,78,2015,24/10/2015 18:00,a,9,4,L
173,81,2015,24/10/2015 18:00,h,12,5,W
173,80,2015,24/10/2015 18:00,a,9,4,L
174,79,2015,24/10/2015 18:00,h,16,3,L
174,76,2015,24/10/2015 18:00,a,7,4,W
175,85,2015,24/10/2015 18:00,h,11,0,L
175,90,2015,24/10/2015 18:00,a,13,3,W
176,83,2015,24/10/2015 20:30,h,20,5,W
176,72,2015,24/10/2015 20:30,a,10,5,L
